Log:

	PID		PPID		Nome do Programa
	18305		18074		create-zombies
	18306		18074		create-zombies
	18307		18074		create-zombies
	18308		18074		create-zombies
	18309		18074		create-zombies
	18310		18074		create-zombies
	18311		18074		create-zombies
	18312		18074		create-zombies
	18313		18074		create-zombies
	18314		18074		create-zombies
	18315		18074		create-zombies
	18316		18074		create-zombies
	18317		18074		create-zombies
	18318		18074		create-zombies
	18319		18074		create-zombies
	18320		18074		create-zombies
	18321		18074		create-zombies
	18322		18074		create-zombies
	18323		18074		create-zombies
	18324		18074		create-zombies
	18325		18074		create-zombies
	18326		18074		create-zombies
	18327		18074		create-zombies
	18328		18074		create-zombies
	18329		18074		create-zombies
	18330		18074		create-zombies
	18331		18074		create-zombies
	18332		18074		create-zombies
	18333		18074		create-zombies
	18334		18074		create-zombies
	18335		18074		create-zombies
	18336		18074		create-zombies
	18337		18074		create-zombies
	18338		18074		create-zombies
	18339		18074		create-zombies
	18340		18074		create-zombies
	18341		18074		create-zombies
	18342		18074		create-zombies
	18343		18074		create-zombies
	18344		18074		create-zombies
	18345		18074		create-zombies
	18346		18074		create-zombies
	18347		18074		create-zombies
	18348		18074		create-zombies
	18349		18074		create-zombies
	18350		18074		create-zombies
	18351		18074		create-zombies
	18352		18074		create-zombies
	18353		18074		create-zombies
	18354		18074		create-zombies
	18355		18074		create-zombies
	18356		18074		create-zombies
	18357		18074		create-zombies
	18358		18074		create-zombies
	18359		18074		create-zombies
	18360		18074		create-zombies
	18361		18074		create-zombies
	18362		18074		create-zombies
	18363		18074		create-zombies
	18364		18074		create-zombies
	18365		18074		create-zombies
	18366		18074		create-zombies
	18367		18074		create-zombies
	18368		18074		create-zombies
	18369		18074		create-zombies
	18370		18074		create-zombies
	18371		18074		create-zombies
	18372		18074		create-zombies
	18373		18074		create-zombies
	18374		18074		create-zombies
	18375		18074		create-zombies
	18376		18074		create-zombies
	18377		18074		create-zombies
	18378		18074		create-zombies
	18379		18074		create-zombies
	18380		18074		create-zombies
	18381		18074		create-zombies
	18382		18074		create-zombies
	18383		18074		create-zombies
	18384		18074		create-zombies
	18385		18074		create-zombies
	18386		18074		create-zombies
	18387		18074		create-zombies
	18388		18074		create-zombies
	18389		18074		create-zombies
	18390		18074		create-zombies
	18391		18074		create-zombies
	18392		18074		create-zombies
	18393		18074		create-zombies
	18394		18074		create-zombies
	18395		18074		create-zombies
	18396		18074		create-zombies
	18397		18074		create-zombies
	18398		18074		create-zombies
	18399		18074		create-zombies
	18400		18074		create-zombies
	18401		18074		create-zombies
	18402		18074		create-zombies
	18403		18074		create-zombies
	18404		18074		create-zombies
	18405		18074		create-zombies
	18406		18074		create-zombies
	18407		18074		create-zombies
	18408		18074		create-zombies
	18409		18074		create-zombies
	18410		18074		create-zombies
	18411		18074		create-zombies
	18412		18074		create-zombies
	18413		18074		create-zombies
	18414		18074		create-zombies
